T1250,Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction Cinema Zoom Powerful Audio Box Speakers,Dyanora,5599,10999,49% off,4.1,4635 Ratings†&†658 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Manufacturer Warranty from the Date of Purchase']
T1251,Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction Android 9.0 Powerfu...,Dyanora,6499,12499,48% off,4.1,4635 Ratings†&†658 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '1 Year Manufacturer Warranty from the Date of Purchase from Dyanora']
T1252,TOSHIBA C350LP Series 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision Atmos and R...,TOSHIBA,33990,54990,38% off,4.2,224 Ratings†&†44 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty on Product and Panel']
T1253,Thomson R9 80 cm (32 inch) HD Ready LED TV,Thomson,7499,14990,49% off,4.1,58531 Ratings†&†8387 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
T1254,MOTOROLA Revou 2 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by boAt and Dolby Visi...,MOTOROLA,23749,39000,39% off,4.3,2410 Ratings†&†352 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
T1255,MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,MarQ,8549,19999,57% off,4.2,8938 Ratings†&†1088 Reviews,['HD Ready 1366 X 768 Pixels' '1 Year Warranty on Product']
T1256,MOTOROLA Revou 2 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,MOTOROLA,27999,52000,46% off,4.3,1409 Ratings†&†207 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
T1257,Vu 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV,Vu,39999,65000,38% off,4.3,430 Ratings†&†84 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty']
T1258,KODAK CA Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,KODAK,20999,37999,44% off,4.5,19605 Ratings†&†5819 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840X2160 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
T1259,Blaupunkt Cybersound 98 cm (40 Inch) HD Ready LED Smart Android TV with 40W Speaker,Blaupunkt,14999,23999,37% off,4.4,10127 Ratings†&†2294 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
T1260,SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Search,SAMSUNG,15990,20900,23% off,4.3,8591 Ratings†&†912 Reviews,['Operating System: Tizen' 'HD Ready 1366 x 768 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
T1261,Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,Mi,39999,54999,27% off,4.4,4107 Ratings†&†389 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty 2 Years for Panel']
T1262,Sansui 109 cm (43 inch) Full HD LED Smart Android TV with Voice Search Smart Remote (Midnight Black) (...,Sansui,20999,33990,38% off,4.2,147 Ratings†&†22 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel']
T1263,Thomson OATHPRO Max 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,Thomson,23999,39999,40% off,4.5,28566 Ratings†&†7417 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
T1264,realme 80 cm (32 inch) Full HD LED Smart Android TV,realme,15499,23999,35% off,4.2,9594 Ratings†&†1282 Reviews,['Operating System: Android' 'Full HD 1080 x 1920 Pixels' '1 Year Warranty on TV and 2 Years Warranty on the Display Panel']
T1265,iFFALCON by TCL F53 100 cm (40 inch) Full HD LED Smart Android TV with Android 11,iFFALCON,15999,36990,56% off,4.2,1288 Ratings†&†174 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
T1266,Mi 5A Pro 80 cm (32 inch) HD Ready LED Smart Android TV with 24W Dolby Audio & 1.5GB RAM (2022 Model),Mi,16149,25999,37% off,4.3,202 Ratings†&†16 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Product Warranty and 1 Year Additional on Panel']
T1267,Mi 4A Horizon Edition 108 cm (43 inch) Full HD LED Smart Android TV,Mi,21999,31999,31% off,4.3,37571 Ratings†&†3302 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty and 2 Years for Panel']
T1268,Mi 5X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,Mi,49499,69999,29% off,4.3,49297 Ratings†&†4517 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty and 2 Years for Panel']
